product_names_list,categories_names_list,subcategories_names_list,suppliers_names_list,supplier_adresses,customer_first_names,customer_last_names,customer_comapnies_names,customer_addresses,customer_cities,customer_states,customer_phones
,,,,,Jimmie,Houston,,,,Arkansas,
,,,,,Ishan,Pratt,,,,California,
,,,,,Amber,Coulson,,,,Colorado,
,,,,,Olivia-Mae,Ho,,,,Connecticut,
,,,,,Yisroel,Gamble,,,,Georgia,
,,,,,Safiyyah,Howells,,,,Hawaii,
,,,,,,,,,,Kentucky,
,,,,,,,,,,Michigan,
,,,,,,,,,,Minnesota,
,,,,,,,,,,Mississippi,
,,,,,,,,,,Missouri,
,,,,,,,,,,Montana,
,,,,,,,,,,Nebraska,
,,,,,,,,,,Nevada,
,,,,,,,,,,North Carolina,
,,,,,,,,,,North Dakota,
,,,,,,,,,,Pennsylvania,
,,,,,,,,,,South Carolina,
,,,,,,,,,,South Dakota,
,,,,,,,,,,Tennessee,
,,,,,,,,,,Virginia,
,,,,,,,,,,Washington,
,,,,,,,,,,West Virginia,
,,,,,,,,,,Wisconsin,
